method,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,balanced_acc,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,coefficient_of_variation,equal_opportunity_difference_race,generalized_entropy_index_race,generalized_true_positive_rate,theil_index,true_positive_rate_difference_race
full,0.771380316290496,0.7414453783589112,0.7426445438809336,0.771380316290496,0.12293078504344418,0.6056686396718088,1.4596806754852688e-05,0.007655397508312656,1.4651277752569907e-05,0.7453346160847428,-0.19547825738688135,0.13888092248354775,1.0,0.21499256465587682,-0.19547825738688135
unaware,0.769998464609243,0.739609371452635,0.7405546499538265,0.769998464609243,0.05125371396348094,0.6032709476161398,0.0002824822126064622,0.033887997008585385,0.000287099085313473,0.7480682917046743,-0.08687032531314767,0.1399015422634874,1.0,0.21642789756788167,-0.08687032531314767
cf1,0.7481959158605865,0.6688157713634869,0.6723326199431241,0.7481959158605865,0.010784430591851302,0.5144880746435906,0.0008104749675954621,0.05771737088592594,0.0008328237254958829,0.8159223870463338,-0.005832407157089506,0.16643233542084684,1.0,0.27255282893932237,-0.005832407157089506
AL_prediction,0.8278826961461692,0.8222960511363657,0.8201884183306558,0.8278826961461692,0.12396510610123034,0.7390331849861236,3.3587588377817047e-06,0.0036620949524120167,3.3527348601203925e-06,0.6088014513545116,-0.21072762408258494,0.09265980179283993,1.0,0.13663120571749754,-0.21072762408258494
GL_prediction,0.8398587440503608,0.8323783270702824,0.8318810793609814,0.8398587440503608,0.04390009464223437,0.7448451150593878,0.00010526534603429581,0.02062211690590395,0.00010631792642019236,0.5936259001586996,-0.08409179658165872,0.08809792733480662,1.0,0.1341134626093923,-0.08409179658165872
GD_prediction,0.8037770612620913,0.8108939442382459,0.8251482388953119,0.8037770612620913,0.04646843396932698,0.7798371027802672,1.6283991917904176e-06,0.00255376631306097,1.630430595431255e-06,0.581550374579091,-0.051179998598219645,0.08455020954327025,1.0,0.10685763888682193,-0.051179998598219645
