method,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,balanced_acc,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,coefficient_of_variation,equal_opportunity_difference_race,generalized_entropy_index_race,generalized_true_positive_rate,theil_index,true_positive_rate_difference_race
full,0.771380316290496,0.7414453783589112,0.7426445438809336,0.771380316290496,0.12293078504344418,0.6056686396718088,1.4596806754852688e-05,0.007655397508312656,1.4651277752569907e-05,0.7453346160847428,-0.19547825738688135,0.13888092248354775,1.0,0.21499256465587682,-0.19547825738688135
unaware,0.769998464609243,0.739609371452635,0.7405546499538265,0.769998464609243,0.05125371396348094,0.6032709476161398,0.0002824822126064622,0.033887997008585385,0.000287099085313473,0.7480682917046743,-0.08687032531314767,0.1399015422634874,1.0,0.21642789756788167,-0.08687032531314767
cf1,0.7481959158605865,0.6688157713634869,0.6723326199431241,0.7481959158605865,0.010784430591851302,0.5144880746435906,0.0008104749675954621,0.05771737088592594,0.0008328237254958829,0.8159223870463338,-0.005832407157089506,0.16643233542084684,1.0,0.27255282893932237,-0.005832407157089506
AL_prediction,0.8278826961461692,0.8222960511363657,0.8201884183306558,0.8278826961461692,0.12396510610123034,0.7390331849861236,3.3587588377817047e-06,0.0036620949524120167,3.3527348601203925e-06,0.6088014513545116,-0.21072762408258494,0.09265980179283993,1.0,0.13663120571749754,-0.21072762408258494
GL_prediction,0.8363273453093812,0.8290538512690411,0.8280970603550517,0.8363273453093812,0.025624370869062142,0.7416595170195597,0.00011786901345581912,0.021828049221053497,0.00011911593319918355,0.5992753521315045,-0.041422606710522336,0.08978273691808468,1.0,0.1357643968070889,-0.041422606710522336
GD_prediction,0.7985567326884692,0.8070758023109065,0.8260717926303429,0.7985567326884692,0.033932611337283175,0.7829465937296427,3.0448133504839344e-07,0.0011038942377278621,3.046456220221944e-07,0.5781907958631657,-0.016546013437065077,0.08357614910522022,1.0,0.1036035450244849,-0.016546013437065077
