method,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,balanced_acc,between_all_groups_theil_index,between_group_coefficient_of_variation,between_group_generalized_entropy_index,coefficient_of_variation,consistency,equal_opportunity_difference_race,generalized_entropy_index_race,generalized_true_positive_rate,smoothed_empirical_differential_fairness,theil_index,true_positive_rate_difference_race
full,0.7186417186417187,0.7138852715423796,0.7224581109827011,0.7186417186417187,0.1418205279216037,0.7092841842337256,0.0006359759669901201,0.050217318051395884,0.0006304447580687627,0.8150223768471533,[0.67068607],0.1910398916661964,0.1660653686903958,1.0,0.2513470148389537,0.2421801578896529,0.1910398916661964
unaware,0.7151767151767152,0.7119417562985398,0.7164975586000525,0.7151767151767152,0.09176106028762984,0.7075200674327606,4.767751865011698e-05,0.013793621198383049,4.756599644112055e-05,0.8063772840534175,[0.67068607],0.1357557975512047,0.1625610810593415,1.0,0.2513470148389537,0.2340707674514244,0.1357557975512047
cf1,0.5918225918225918,0.5825974177800768,0.5888857726456415,0.5918225918225918,0.053786979157089326,0.5801537343211098,0.00023523546088170162,0.030752621231281318,0.0002364309281486636,1.0025346296232116,[0.67068607],0.06175026801331601,0.25126892089843755,1.0,0.2513470148389537,0.35055224789031486,0.06175026801331601
cf2,0.5765765765765766,0.5664233483075776,0.5724690167728143,0.5765765765765766,0.05421197496566221,0.5644767774564239,0.00027463676960146093,0.033235100039550595,0.00027614296865973397,1.0252944234351404,[0.67068607],0.06249506291259943,0.26280716368179924,1.0,0.2513470148389537,0.36504235671358,0.06249506291259943
AL_prediction,0.6832986832986833,0.6821258438234077,0.6824137905367474,0.6832986832986833,0.15842370756080892,0.6786620164870006,0.0008143030087929548,0.056789557223752715,0.000806263452417471,0.8212818662973356,[0.67068607],0.17825424589516442,0.16862597597720863,1.0,0.2513470148389537,0.23668802045841367,0.17825424589516442
GL_prediction,0.6826056826056826,0.6797354462218712,0.682278081166627,0.6826056826056826,0.12028786577613447,0.675574570425476,0.00024705535323716335,0.031351456723825596,0.0002457284596764773,0.8445109368104026,[0.67068607],0.1398183151836596,0.17829968059809592,1.0,0.2513470148389537,0.2529277668529422,0.1398183151836596
GD_prediction,0.6694386694386695,0.6680766497965467,0.6683996137916223,0.6694386694386695,0.11184277698093609,0.6644910837187002,0.0001431969058736524,0.02388418111109728,0.00014261352683692403,0.8412905372896894,[0.67068607],0.12322970151780177,0.17694244203329354,1.0,0.2513470148389537,0.2481096567577649,0.12322970151780177
