method,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,balanced_acc,coefficient_of_variation,energy,equal_opportunity_difference_race,gaussian,generalized_entropy_index_race,laplacian,sinkhorn,smoothed_empirical_differential_fairness,theil_index,true_positive_rate_difference_race
full,0.668052668052668,0.6641740587686534,0.6678130115502203,0.668052668052668,0.11781611190311196,0.6599836444623165,0.8727352325809375,0.011157393,0.1526039609546916,0.009892225,0.1904166965470258,0.012522817,0.0037535822,0.2513470148389537,0.27004626393498926,0.1526039609546916
unaware,0.6694386694386695,0.6654668704693483,0.6693195794547145,0.6694386694386695,0.12496401648614926,0.6612673415098134,0.8719078716283956,0.012547463,0.1600970490323308,0.011125803,0.19005583415188967,0.014107525,0.0041817552,0.2513470148389537,0.2697553476251835,0.1600970490323308
cf1,0.6216216216216216,0.5993255976407722,0.6306095767500928,0.6216216216216216,0.08580874512153164,0.6034178433889602,1.0261466765689833,0.0027548224,0.09272696496078542,0.0017609596,0.26324425045839245,0.003918171,0.00071800844,0.2513470148389537,0.37585744995241566,0.09272696496078542
cf2,0.6181566181566182,0.6067354300172803,0.6185142080400396,0.6181566181566182,0.09424580858379179,0.6049886323213264,0.9849062493455913,0.0022001415,0.09258026293516897,0.0016074777,0.24251008000000004,0.0029203892,0.0005769875,0.2513470148389537,0.3420980809898925,0.09258026293516897
AL_prediction,0.6832986832986833,0.6821258438234077,0.6824137905367474,0.6832986832986833,0.15842370756080892,0.6786620164870006,0.8212818662973356,0.018300086,0.17825424589516442,0.017052114,0.16862597597720863,0.019746184,0.0061740307,0.2513470148389537,0.23668802045841367,0.17825424589516442
GL_prediction,0.6895356895356896,0.6868183814760072,0.6893290682218017,0.6895356895356896,0.12859215491079248,0.6826600368096262,0.8341246588905972,0.010620549,0.13735823506178413,0.0097952485,0.17394098664233879,0.011455059,0.0038413191,0.2513470148389537,0.2470800099630809,0.13735823506178413
GD_prediction,0.6735966735966736,0.6741127238037128,0.6764443730970928,0.6735966735966736,0.12189549595134988,0.6744561687056312,0.7777279304440518,0.024891406,0.14064210348135187,0.022204578,0.15121518344819695,0.021419525,0.015942752,0.2513470148389537,0.20671624690616716,0.14064210348135187
