method, between_group_coefficient_of_variation,Accuracy,F1 Score,Precision,Recall,average_abs_odds_difference_race,balanced_acc,between_all_groups_theil_index,between_group_generalized_entropy_index,coefficient_of_variation,consistency,equal_opportunity_difference_race,generalized_entropy_index_race,smoothed_empirical_differential_fairness,theil_index,true_positive_rate_difference_race
full,0.025809069785643127,0.668052668052668,0.6641740587686534,0.6678130115502203,0.668052668052668,0.11781611190311196,0.6599836444623165,0.00016726418815899346,0.00016652702080004926,0.8727352325809375,[0.66167706],0.1526039609546916,0.1904166965470258,0.2513470148389537,0.27004626393498926,0.1526039609546916
unaware,0.03110686668621055,0.6694386694386695,0.6654668704693483,0.6693195794547145,0.6694386694386695,0.12496401648614926,0.6612673415098134,0.00024320512943083736,0.00024190928875841895,0.8719078716283956,[0.66167706],0.1600970490323308,0.19005583415188967,0.2513470148389537,0.2697553476251835,0.1600970490323308
cf1,0.003298636380846942,0.6216216216216216,0.5993255976407722,0.6306095767500928,0.6216216216216216,0.08580874512153164,0.6034178433889602,2.7187446773194556e-06,2.720250493261753e-06,1.0261466765689833,[0.66167706],0.09272696496078542,0.26324425045839245,0.2513470148389537,0.37585744995241566,0.09272696496078542
cf2,0.004646848865257396,0.6181566181566182,0.6067354300172803,0.6185142080400396,0.6181566181566182,0.09424580858379179,0.6049886323213264,5.402535814328361e-06,5.398301094135989e-06,0.9849062493455913,[0.66167706],0.09258026293516897,0.24251008000000004,0.2513470148389537,0.3420980809898925,0.09258026293516897
AL_prediction,0.056789557223752715,0.6832986832986833,0.6821258438234077,0.6824137905367474,0.6832986832986833,0.15842370756080892,0.6786620164870006,0.0008143030087929548,0.000806263452417471,0.8212818662973356,[0.66167706],0.17825424589516442,0.16862597597720863,0.2513470148389537,0.23668802045841367,0.17825424589516442
GL_prediction,0.03742836278737538,0.6860706860706861,0.6849081121488046,0.6852125075348435,0.6860706860706861,0.1298053178718593,0.681451737630883,0.00035248866109402954,0.00035022058523584654,0.8176676019156172,[0.66167706],0.15245725892907525,0.16714507680560903,0.2513470148389537,0.23470192538517598,0.15245725892907525
GD_prediction,0.01819176935418083,0.6687456687456688,0.668545309166922,0.6684092449955638,0.6687456687456688,0.10457374293483518,0.6660725056838394,8.299179425638182e-05,8.273511805892822e-05,0.8195669509801882,[0.66167706],0.12002482649664281,0.16792249678474055,0.2513470148389537,0.23332739019346907,0.12002482649664281
